crop_id,confidence,source_frame,x1,y1,x2,y2,human_label
crop_083,0.7689,23,,,,,not_ball
crop_084,0.7380,23,,,,,not_ball
crop_085,0.6832,23,,,,,not_ball
crop_086,0.6782,23,,,,,not_ball
crop_087,0.5745,23,,,,,not_ball
crop_088,0.5486,23,,,,,not_ball
crop_089,0.5483,23,,,,,not_ball
crop_090,0.5306,23,,,,,not_ball
crop_091,0.4728,23,,,,,not_ball
crop_092,0.4523,23,,,,,not_ball
crop_093,0.4468,23,,,,,not_ball
crop_094,0.4108,23,,,,,not_ball
crop_095,0.3847,23,,,,,not_ball
crop_096,0.3651,23,,,,,not_ball
crop_097,0.3398,23,,,,,not_ball
crop_098,0.2780,23,,,,,not_ball
crop_099,0.6877,24,,,,,not_ball
crop_100,0.6832,24,,,,,not_ball
crop_101,0.6685,24,,,,,not_ball
crop_102,0.6666,24,,,,,not_ball
crop_103,0.5830,24,,,,,not_ball
crop_104,0.4193,24,,,,,not_ball
crop_105,0.3953,24,,,,,not_ball
crop_106,0.3414,24,,,,,not_ball
crop_107,0.3132,24,,,,,not_ball
crop_108,0.3061,24,,,,,not_ball
crop_109,0.2592,24,,,,,not_ball
crop_110,0.2576,24,,,,,not_ball
crop_111,0.7427,25,,,,,not_ball
crop_112,0.6353,25,,,,,not_ball
crop_113,0.6234,25,,,,,not_ball
crop_114,0.6066,25,,,,,not_ball
crop_115,0.5757,25,,,,,not_ball
crop_116,0.5606,25,,,,,not_ball
crop_117,0.5575,25,,,,,not_ball
crop_118,0.5128,25,,,,,not_ball
crop_119,0.4824,25,,,,,not_ball
crop_120,0.4766,25,,,,,not_ball
crop_121,0.4034,25,,,,,not_ball
crop_122,0.3370,25,,,,,not_ball
crop_123,0.3268,25,,,,,not_ball
crop_124,0.3185,25,,,,,not_ball
crop_125,0.3152,25,,,,,not_ball
crop_126,0.3148,25,,,,,not_ball
crop_127,0.2993,25,,,,,not_ball
crop_128,0.2808,25,,,,,not_ball
crop_129,0.2560,25,,,,,not_ball
crop_130,0.7373,26,,,,,not_ball
crop_131,0.6830,26,,,,,not_ball
crop_132,0.4606,26,,,,,not_ball
crop_133,0.4453,26,,,,,not_ball
crop_134,0.3918,26,,,,,not_ball
crop_135,0.3858,26,,,,,not_ball
crop_136,0.3728,26,,,,,not_ball
crop_137,0.3723,26,,,,,not_ball
crop_138,0.3104,26,,,,,not_ball
crop_139,0.2962,26,,,,,not_ball
crop_140,0.2732,26,,,,,not_ball
